shiptype,ton,length
Cargo ships,203,25
Cargo ships,203,25
Cargo ships,203,25
Cargo ships,203,25
Cargo ships,203,25
Cargo ships,203,25
Cargo ships,203,24
Cargo ships,203,24
Cargo ships,203,22
Cargo ships,203,22
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,20
Cargo ships,203,0
Cargo ships,218,38
Cargo ships,218,32
Cargo ships,218,31
Cargo ships,218,30
Cargo ships,218,28
Cargo ships,218,26
Cargo ships,218,26
Cargo ships,218,21
Cargo ships,218,5
Cargo ships,235,40
Cargo ships,235,30
Cargo ships,235,29
Cargo ships,235,28
Cargo ships,235,26
Cargo ships,235,26
Cargo ships,235,26
Cargo ships,235,26
Cargo ships,235,26
Cargo ships,235,26
Cargo ships,235,26
Cargo ships,235,22
Cargo ships,235,22
Cargo ships,235,21
Cargo ships,235,21
Cargo ships,235,21
Cargo ships,235,21
Cargo ships,235,21
Cargo ships,235,21
Cargo ships,235,20
Cargo ships,235,12
Cargo ships,235,5
Cargo ships,235,5
Cargo ships,252,43
Cargo ships,252,38
Cargo ships,252,38
Cargo ships,252,37
Cargo ships,252,36
Cargo ships,252,36
Cargo ships,252,35
Cargo ships,252,33
Cargo ships,252,33
Cargo ships,252,30
Cargo ships,252,30
Cargo ships,252,30
Cargo ships,252,28
Cargo ships,252,28
Cargo ships,252,5
Cargo ships,270,34
Cargo ships,270,32
Cargo ships,270,30
Cargo ships,270,30
Cargo ships,270,29
Cargo ships,270,28
Cargo ships,270,24
Cargo ships,270,22
Cargo ships,270,22
Cargo ships,270,22
Cargo ships,270,22
Cargo ships,270,5
Cargo ships,270,4
Cargo ships,270,4
Cargo ships,289,35
Cargo ships,289,35
Cargo ships,289,35
Cargo ships,289,33
Cargo ships,289,33
Cargo ships,289,33
Cargo ships,289,31
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,30
Cargo ships,289,25
Cargo ships,289,25
Cargo ships,289,20
Cargo ships,289,20
Cargo ships,289,10
Cargo ships,289,10
Cargo ships,289,10
Cargo ships,289,5
Cargo ships,289,5
Cargo ships,289,5
Cargo ships,289,5
Cargo ships,289,5
Cargo ships,289,4
Cargo ships,309,39
Cargo ships,309,38
Cargo ships,309,36
Cargo ships,309,33
Cargo ships,309,32
Cargo ships,309,30
Cargo ships,309,30
Cargo ships,309,30
Cargo ships,309,30
Cargo ships,309,30
Cargo ships,309,30
Cargo ships,309,29
Cargo ships,309,26
Cargo ships,309,25
Cargo ships,309,23
Cargo ships,309,23
Cargo ships,309,18
Cargo ships,309,18
Cargo ships,309,17
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,12
Cargo ships,309,5
Cargo ships,329,42
Cargo ships,329,37
Cargo ships,329,37
Cargo ships,329,37
Cargo ships,329,30
Cargo ships,329,30
Cargo ships,329,30
Cargo ships,329,30
Cargo ships,329,30
Cargo ships,329,22
Cargo ships,329,17
Cargo ships,329,13
Cargo ships,351,40
Cargo ships,351,39
Cargo ships,351,38
Cargo ships,351,38
Cargo ships,351,36
Cargo ships,351,34
Cargo ships,351,32
Cargo ships,351,30
Cargo ships,351,30
Cargo ships,351,30
Cargo ships,351,30
Cargo ships,351,28
Cargo ships,351,28
Cargo ships,351,28
Cargo ships,351,28
Cargo ships,351,26
Cargo ships,351,24
Cargo ships,351,24
Cargo ships,351,5
Cargo ships,351,4
Cargo ships,373,44
Cargo ships,373,44
Cargo ships,373,43
Cargo ships,373,40
Cargo ships,373,39
Cargo ships,373,38
Cargo ships,373,37
Cargo ships,373,36
Cargo ships,373,35
Cargo ships,373,34
Cargo ships,373,34
Cargo ships,373,34
Cargo ships,373,32
Cargo ships,373,31
Cargo ships,373,30
Cargo ships,373,30
Cargo ships,373,30
Cargo ships,373,30
Cargo ships,373,28
Cargo ships,373,27
Cargo ships,373,25
Cargo ships,373,25
Cargo ships,373,23
Cargo ships,373,19
Cargo ships,373,18
Cargo ships,373,10
Cargo ships,373,6
Cargo ships,373,5
Cargo ships,373,5
Cargo ships,373,5
Cargo ships,373,5
Cargo ships,396,50
Cargo ships,396,45
Cargo ships,396,42
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
Cargo ships,396,40
